timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717705211134,2,GetNewProducts,200,OK,Thread Group 1-887,text,true,,1864,150,44,44,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211133,3,GetNewProducts,200,OK,Thread Group 1-888,text,true,,1864,150,44,44,http://localhost:5000/api/product/newProducts/?page=1,3,0,1
1717705211133,2,GetNewProducts,200,OK,Thread Group 1-886,text,true,,1864,150,44,44,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211132,1,GetNewProducts,200,OK,Thread Group 1-885,text,true,,1864,150,41,41,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211130,2,GetNewProducts,200,OK,Thread Group 1-884,text,true,,1864,150,40,40,http://localhost:5000/api/product/newProducts/?page=1,2,0,1
1717705211130,1,GetNewProducts,200,OK,Thread Group 1-883,text,true,,1864,150,40,40,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211129,1,GetNewProducts,200,OK,Thread Group 1-882,text,true,,1864,150,38,38,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211127,1,GetNewProducts,200,OK,Thread Group 1-881,text,true,,1864,150,36,36,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211127,1,GetNewProducts,200,OK,Thread Group 1-880,text,true,,1864,150,36,36,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211125,1,GetNewProducts,200,OK,Thread Group 1-879,text,true,,1864,150,34,34,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211123,1,GetNewProducts,200,OK,Thread Group 1-878,text,true,,1864,150,33,33,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211122,1,GetNewProducts,200,OK,Thread Group 1-877,text,true,,1864,150,32,32,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211121,1,GetNewProducts,200,OK,Thread Group 1-876,text,true,,1864,150,32,32,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211120,2,GetNewProducts,200,OK,Thread Group 1-875,text,true,,1864,150,32,32,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211119,2,GetNewProducts,200,OK,Thread Group 1-874,text,true,,1864,150,31,31,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211118,2,GetNewProducts,200,OK,Thread Group 1-872,text,true,,1864,150,30,30,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
